ACNO,Title,出版社,Authur Name
C04169,香港 1992,香港政府,香港政府
C04175,中華人民共和國香港特別行政區基本法,一國兩制經濟研究中心,
C04195,中國居住文化,中華書局,陳平
C04214,天下第一奇景,山外山,凌雲志
C04239,香港現代散文名篇選析,新雅文化事業有限公司,綠騎士
C04254,中學生的自我成長,華漢文化事業公司,劉佩蓉
C04257,揉和著書香的浪漫,天地圖書有限公司,農婦
C04259,我的快樂天堂,皇冠,三毛
C04281,漫畫唐詩,博益,蔡志忠
C04288,故宮博物院藏寶錄,上海文藝出版社及三聯書店香港分店,劉北氾
C04289,中國繪畫史,雄獅美術,高史翰 (James Cahill)
C04291,模擬會考中文作文點評 -- 議論文與實用文類,明天,明天出版社編輯部
C04293,簡明中國學術思想史,香港教育圖書公司,林啟彥
C04302,中華故事系列 第七冊 《清代故事》,金陵出版社,陳瑞昌
C04309,近代中國外交的巨變,商務,梁伯華
C04319,杏壇記聞,商務,蕭乾
C04321,人物春秋,商務,蕭乾
C04322,社會百相,商務,蕭乾
C04330,生活論語,宜昌印刷製版有限公司,傅佩榮
C04333,新雅彩色圖解百科全書,新雅文化事業有限公司,黃慶雲
C04345,英語文法遊戲 2,敦煌書局,
C04352,52種幫助孩子建立自尊自信的好方法,生命潛能文化事業有限公司,Jan Dargatz
C04356,愛迪生,牛頓出版股份有限公司,
C04408,暴龍,貓頭鷹出版社,吳春諭
C04411,怎樣建立青少年的自尊,台灣東方出版社股份有限公司,Harris Blemes
C04412,中國結 (Chinese Knotting),英文漢聲,陳夏生
C04413,中國米食 食譜,英文漢聲,吳美雲
C04430,希臘羅馬神話一百篇,商務,陶潔筆
C04432,包青天傳奇 (I),可筑書房,林鬱
C04434,包青天傳奇 (III),可筑書房,林鬱
C04438,中華五千年史話,三聯,郭伯南
C04444,古詩之旅,三聯,秦泥
C04445,新界風物與民情,三聯,邱東遺
C04446,九龍城寨史話,三聯,魯金
C04448,"1, 2, 3, … 以外 -- 數學奇趣錄",三聯,蕭文強
C04472,最新攝影技術,國豐文化出版社,國豐書局
C04476,家國結構與中國人,中華書局,岳慶平
C04485,夾縫之間,香江出版公司,施叔青
C04486,政道與治道,台灣學生書局,牟宗三
C04490,從價值系統看中國文化的現代意義,時報文化出版企業有限公司,余英詩
C04499,柏楊雜文選,文藝風出版社,柏楊
C04505,文言語譯,三聯,朱業顯
C04509,沉淪的國土,明報出版社,徐剛
C04511,燃燒之後,天地圖書有限公司,鍾曉陽
C04512,年輕的心,天地圖書有限公司,亦舒
C04528,毛澤東與中國文化,中華書局,汪澍白
C04532,朋黨與中國政治,中華書局,徐洪興
C04533,中國的世界第一,商務,吳(王成)
C04544,歷代宰相軼事 (上),海峰出版社,王從仁
C04568,企業家父親寫給女兒的25封信,時報文化出版企業有限公司,K‧華德
C04570,改變生命的50個觀念,時報文化出版企業有限公司,羅佰‧安東尼博士
C04572,讀得更好、讀得更快,桂冠圖書股份有限公司,德立弗博士
C04573,如何增進記憶,桂冠圖書股份有限公司,齊瑪克
C04574,人際溝通分析,桂冠圖書股份有限公司,哈禮斯
C04575,少年十五二十時,桂冠圖書股份有限公司,陳皎眉
C04576,年輕人的感情世界,桂冠圖書股份有限公司,張春興
C04577,如何突破求學困境,桂冠圖書股份有限公司,霍特
C04582,成功人生,時報文化出版企業有限公司,傅佩榮
C04583,生命的奮進,時報文化出版企業有限公司,吳甿
C04588,我的第一次,突破出版社,黎海華
C04609,邊緣人間,突破出版社,楊思
C04615,彭定康治港得失,天地圖書有限公司,洪青田
C04616,追求自我成長,少年讀者有限公司,丹楓
C04617,增進自我認識,少年讀者有限公司,杏子
C04618,激發自我潛能,少年讀者有限公司,丹楓
C04620,香港1994,政府,政府
C04621,瞭解自我性格,少年讀者有限公司,丹楓
C04627,青少年的世界,桂冠圖書股份有限公司,鍾思嘉
C04630,少年凱歌,遠流出版事業股份有限公司,陳凱歌
C04632,朗文標準英語文法練習,朗文出版亞洲有限公司,蔡文良
C04650,相對論趣談,銀禾文化事業有限公司,周東川
C04656,音樂的源流 (1),大夏出版社,邵義強
C04659,古典音樂與樂器,翰輝,葉振綱
C04664,方太精打細算食譜 (二),明窗出版社有限公司,方任利莎
C04673,保齡球必勝打法,文國,團康輔導社
C04680,傳統與中國人,三聯,劉再復
C04682,中國宗教與基督教,三聯,李家懿
C04688,中國現代文學發展史,三聯,黃修己
C04698,徐志摩作品精選,雅苑出版社,徐志摩
C04703,俗文化語言,次文化有限公司,吳昊
C04704,粵語古趣談,文星圖書公司,黃氏
C04705,中國蒼茫--中西政治文化批評與前瞻,華漢文化事業公司,梁燕城
C04713,生活的藝術,大孚書局,林語堂
C04723,驅動他人的心理技巧,世茂出版社,多湖輝
C04728,我的小時候,突破出版社,關美瓊
C04734,阿濃生活錦囊,大家出版社有限公司,阿濃
C04735,魅力十足,皇冠出版社,黃明堅
C04744,打開孩子的心扉,業強出版社,珍‧M‧希利博士
C04746,與成功有約,天下文化出版股份有限公司,柯維
C04751,輕鬆自在交朋友,培根文化事業股份有限公司,安德魯‧馬修斯
C04771,成長的困惑,天地圖書有限公司,孫天倫
C04775,個人理財攻防戰,香港出版集團有限公司,錢可通
C04777,中國文化與婦女: 文化篇,香港教育圖書公司,黃嫣梨
C04795,莊子淺說,商務,陳鼓應
C04797,中國文化46謎,商務,施宣圖
C04799,衣飾的天地,商務,王維堤
C04813,窮巷,三聯,侶倫
C04824,近代故事,金陵出版社,潘永忠
C04825,歷史探索與文化反思,香港教育圖書公司,梁元生
C04826,中國皇帝大觀: 1 秦始皇 -- 漢景帝,南粵出版社,徐淦
C04846,水果佳饌,飲食天地,江李沁霞
C04851,激發心靈潛力,中國生產力中心,安東尼‧羅賓 (Antony Robbins)
C04857,基本粒子的物理,銀禾文化事業有限公司,新世紀編輯小組
C04860,時間簡史續編,銀禾文化事業有限公司,史蒂芬‧霍金
C04862,霍金傳,藝文印書館,邁克爾‧懷特
C04869,人間有情,博益出版集團有限公司,杜國威
C04871,如何成為高材生,昭明出版社有限公司,謝家安
C04886,曾Sir 趣味小百科,博益出版集團有限公司,曾近榮
C04905,向生命說聲好,突破出版社,李健青
C04912,射鵰英雄傳 (二),明河社出版有限公司,金庸
C04913,射鵰英雄傳 (三),明河社出版有限公司,金庸
C04914,射鵰英雄傳 (四),明河社出版有限公司,金庸
C04923,時間的話題 -- 對話集,素葉出版社,西西
C04924,人間清月,獲益出版事業有限公司,小思
C04926,奼紫嫣紅開遍 (卷一),三聯書店(香港)有限公司,
C04928,奼紫嫣紅開遍 (卷三),三聯書店(香港)有限公司,
C04933,海頓,智庫文化,Neil Butterworth
C04934,舒曼,智庫文化,Tim Dowley
C04936,莫札特,三暉圖書,Michael White
C04938,柴可夫斯基,三暉圖書,Michael Pollard
C04940,蕭邦,三暉圖書,Pam Brown
C04943,中學生文學精讀: 唐詩,三聯書店(香港)有限公司,施議對
C04952,九龍城寨煙雲,獲益出版事業有限公司,林蔭
C04954,中國現代中短篇小說選 (上),公開進修學院出版社,劉紹銘
C04955,中國現代中短篇小說選 (下),公開進修學院出版社,劉紹銘
C04960,中國奇案故事精選,明窗出版社有限公司,王毅
C04963,醬缸震盪,星光,柏楊
C04964,孔子的人生哲學 -- 執著人生,揚智文化事業股份有限公司,李旭
C04966,諸葛亮的人生哲學 -- 智聖人生,揚智文化事業股份有限公司,曹海東
C04967,禪宗的人生哲學 -- 頓悟人生,揚智文化事業股份有限公司,陳文新
C04968,老子的人生哲學,揚智文化事業股份有限公司,戴健業
C04969,中學生文學精讀 -- 沈從文,三聯書店(香港)有限公司,汪曾祺
C04971,燃燒之後,天地圖書有限公司,鍾曉陽
C04977,有情世界,突破出版社,小沿
C04983,屋村難忘,突破出版社,陸志文
C04995,學生壁報設計,世一書局,張忠義
C05002,我和春天有個約會,次文化堂,杜國威
C05012,香港古代史,中華書局,蕭國健
C05013,城寨與中英外交,麒麟書業,梁炳華
C05015,白先勇自選集,華漢文化,白先勇
C05025,香港1995年年鑑,香港政府,香港政府
C05055,記憶力訓練班,香港大腦潛能中心,謝家安
C05056,也曾同路,香港基督教服務,王易鳴
C05065,香港1996年年鑑,香港政府,香港政府
C05100,中文多用字典,香港天宇圖書中心,張丹
C05113,快樂篇,絲路,呂俊傑
C05115,人緣篇,絲路,陳曼玲
C05117,幸福篇,絲路,管仁健
C05127,西遊記,新雅,吳承恩
C05128,三國演義,新雅,羅貫中
C05131,紅樓夢 第一冊,商務,曹雪芹
C05132,紅樓夢 第二冊,商務,曹雪芹
C05133,紅樓夢 第三冊,商務,曹雪芹
C05134,紅樓夢 第四冊,商務,曹雪芹
C05135,紅樓夢 第五冊,商務,曹雪芹
C05136,紅樓夢 第六冊,商務,曹雪芹
C05138,警世通言 (上),中華書局,馮夢龍
C05139,警世通言 (下),中華書局,馮夢龍
C05142,真實的董建華,名流,藍潮
C05180,愛的教育,希代書版,Edmondo De Amicia
C05187,活出成功的自己 (A Life On my Won),晨星,Hazelden Publishing Group
C05188,生活簡單就是享受,新路出版社有限公司,Elaine St‧James
C05190,鄧小平,利文,
C05191,一國兩制知多少,三聯,劉清泉
C05192,做壓力的主人,南粵,李麗煥
C05193,永恆的瞬間　　(The eternal moment--Deng Xiaoping A Great  Man of the time),啟迪,
C05198,家事常識手冊 (增訂本),博益,曾近榮
C05205,霍金傳,藝文,邁克爾‧懷特
C05206,時間之箭,藝文,
C05207,黑洞與嬰兒宇宙,藝文,史蒂芬‧霍金
C05211,伽利略,牛頓,Michael Sharratt
C05212,愛因斯坦,牛頓,Michael White
C05215,圖解最新相對論,世茂,小暮陽三
C05217,永州八記導讀,中華書局,向沛雄
C05224,骨灰,華漢文化,白先勇
C05225,白先勇傳,華漢文化,王晉民
C05228,文心雕龍字義通釋,文德文化,胡緯
C05229,二十四孝,星輝,王照
C05231,中華文化五千年 (2),獲益,陳耀南
C05232,中華文化五千年 (1),獲益,陳耀南
C05233,中華文化五千年 (3),獲益,羽人
C05234,中華文化五千年 (4),獲益,羽人
C05235,中華文化五千年 (5),獲益,陳耀南
C05236,百家姓,星輝,王照
C05237,再無經典的年代,雅典文庫,畢華流
C05238,生活字典--會考十八狀元榜,皇冠,唐羚
C05240,漫畫聊齋,博益,蔡志忠
C05242,英華沉浮錄     (一),明窗,董橋
C05243,英華沉浮錄     (二),明窗,董橋
C05244,英華沉浮錄     (三),明窗,董橋
C05245,漫畫唐詩三百首,博益,蔡志忠
C05252,讀對聯學歷史,國際少年村,馬光復
C05258,絲帶結飾技藝,萬里機構,Christine Kingdom
C05260,女性與歷史,香港教育圖書公司,劉詠聰
C05261,共和國的追求與挫折,商務,周佳榮
C05262,文化大革命,中共黨史,席宣
C05263,鄧小平傳,南粵,巴拉奇
C05266,傳統與中國人,三聯,劉再復
C05270,細說中國民間,武陵,王世禎
C05273,中國歷代名師傳,大行,何茲全
C05276,十九世紀的香港,麒麟書業,余繩武
C05279,中國學術思想史,香港教育圖書公司,林啟彥
C05289,2 天學會橋牌     (Learn Bridge in a Weekend),東方,Jonathan Davis
C05290,2 天學會游泳,東方,Sharren Davies
C05291,2 天學會攝影 (Learn Photography in a Weekend),東方,Michael Langford
C05296,中國人的生活,幼獅文化,朱惠良
C05297,中國少數民族服飾與風情     (西南冊),三豐,施友義
C05319,自然保健療法大全,讀者文摘,樂為良
C05322,親子性教育活動手冊,香港家庭計劃指導會,香港家庭計劃指導會
C05328,香港1997,香港政府,香港政府
C05329,三字經,國際少年村,穆一衡
C05330,千字文 (圖畫本),國際少年村,穆一衡
C05338,上學威龍,智慧文庫,慕衣
C05339,少年的煩惱：　校園發燒版,幼獅文化,陳映霞
C05341,"心靈雞湯 II    (Second Helping of Chicken soup for the soul, a)",晨星,Jack Canfield
C05342,水滸傳的傳說,林鬱文化,鍾敬文
C05346,西遊記的傳說,林鬱文化,鍾敬文
C05351,《聊齋誌異》的傳說,林鬱文化,葉桂桐
C05352,創意小餅乾,漢湘文化,中村壽子
C05353,董建華評傳,東西文化,李曉莊
C05354,運動傷害急救手冊,漢湘文化,增田雄一
C05355,曉風小說集,道聲出版社,張曉風
C05356,簡易觀星手冊,世茂,蔡章獻
C05358,讀寓言學歷史,國際少年村,孫惟亮
C05365,青春族開心貼士,山邊社,嚴吳嬋霞
C05378,How to Write Correct And Good Sentence,中華書局,梁燕水
C05379,How To Use Phrasal Verbs,中華書局,劉煥儀
C05381,孩子與我,明窗,毛孟靜
C05382,智者幽默62篇,中華書局,許鳴
C05383,唐山大地震,中華書局,錢鋼
C05386,釣魚台,明報,明報
C05389,將上下而求索,山邊社,張燦輝
C05391,心靈雞湯    (Chicken Soup for the Soul),晨星,Jack Canfield
C05393,"心靈雞湯 III    (Third Serving of Chicken soup for the soul, a)",晨星,Jack Canfield
C05394,笑傲江湖(一),明河社出版有限公司,金庸
C05395,笑傲江湖(二),明河社出版有限公司,金庸
C05396,笑傲江湖(三),明河社出版有限公司,金庸
C05397,笑傲江湖(四),明河社出版有限公司,金庸
C05400,兩線下的溫情,昭明,潘金英
C05406,人間試片室,突破出版社,單慧珠
C05410,攝影天地間,大地地理,潘建宏
C05413,不可思議的科學實驗室,世潮,珍妮絲‧派特‧范克勞馥
C05414,不可思議的科學實驗室,世潮,珍妮絲‧派特‧范克勞馥
C05415,不可思議的科學實驗室,世潮,珍妮絲‧派特‧范克勞馥
C05416,不可思議的科學實驗室,世潮,珍妮絲‧派特‧范克勞馥
C05417,不可思議的科學實驗室,世潮,珍妮絲‧派特‧范克勞馥
C05419,阿笨貓傳奇,洪波/江蘇少年兒童,冰波
C05420,動物我愛你 12 篇,幼獅文化,辛西亞‧賴藍特
C05437,中港經濟發展藍圖,廣角鏡,羅祥國
C05449,不可思議的魔術百變技法,漢湘文化,拿破崙二人組
C05452,漫畫列子,博益,蔡志忠
C05455,我愛青少年    (Wonderful Ways To Love A Teen),新苗文化事業有限公司,Judy Ford
C05465,辦公室政治慨論,勤十緣,古鎮皇
C05468,如何戰勝自己,勤十緣,梁鳳儀
C05470,新厚黑學,聯經,朱津寧
C05474,EQ,時報文化,丹尼爾‧高曼
C05475,EQ 測驗書,時報文化,羅伯特‧庫伯
C05479,重塑親子關係,遠流,董媛卿
C05483,"版畫技法 1, 2, 3",雄獅圖書,廖修平
C05484,立體設計原理,雄獅圖書,王無邪
C05485,男女夫妻,快澤,馬綺年
C05495,畢華流談浪漫小玩意,博益,畢華流
C05501,校園公安散記,螢火蟲文化,何漢權
C05502,複製驚魂,螢火蟲文化,周蜜蜜
C05503,天宇追蹤,螢火蟲文化,周蜜蜜
C05504,異類世界,螢火蟲文化,周蜜蜜
C05506,思考加油站,童樂,洪聖
C05507,快樂學習圓形,遠哲科學教育基金會,Catherine Sheldrick Ross
C05513,打開科學之門,台灣麥克股份,奈爾‧ 阿爾德利
C05514,打開音樂之門,台灣麥克股份,尼爾‧ 雅德禮
C05520,我仍是實習醫生,明窗,知廣
C05522,香港現代散文名篇選析,新雅文化事業有限公司,綠騎士
C05524,猜情尋,游移作業創作室,劉孝偉
C05537,時間的話題,素葉,西西
C05539,吃喝玩樂,明報,吳藹儀
C05541,做情緒的主人,雅音,蓋瑞‧ 麥凱
C05542,香港文學探賞,三聯,陳炳良
C05545,精妙辯論技巧,漢欣文化,楊志岐
C05547,現代漢語疑難詞,商務,李臨定
C05548,有效與家長溝通 70 式,香港教育圖書公司,謝淑賢
C05550,中學生文學精讀,三聯,莊澤義
C05552,書面中文的本質與應用,香港大學,陳耀南
C05563,香港教育問題研究,廣角鏡,賀國強
C05566,增進記憶百招,新苗文化事業有限公司,多湖輝
C05569,筆友奇緣,臭皮匠出版有限公司,君比
C05573,惶恐,突破出版社,君比
C05580,如何克服壓力,世茂,豬侯公宏
C05583,三國鼎立,新雅文化事業有限公司,宋詒瑞
C05584,七雄爭霸,新雅文化事業有限公司,宋詒瑞
C05585,有趣的速算術,世茂,中村義作
C05594,請教醫生,南洋時兆報館,蔡書生
C05595,普通話讀音詞匯,香港教育圖書公司,鍾麗幗
C05597,簡明香港史,三聯,劉蜀永
C05598,香港史新篇 (上),三聯,王賡武
C05599,香港史新篇 (下),三聯,王賡武
C05604,漢唐史論集,聯經,傅樂成
C05610,割佔香港島,三聯,余繩武
C05611,割佔九龍,三聯,余繩武
C05613,簡明香港史,三聯,劉蜀永
C05614,從大歷史的角度讀蔣介石日記,時報文化,黃仁宇
C05616,租借新界,三聯,余繩武
C05622,香港,政府新聞隊,吳瑞娟
C05628,泰晤士河畔,皇冠出版社(香港)有限公司,陶傑
C05629,黃金冒險號,皇冠出版社(香港)有限公司,陶傑
C05631,"方苞, 劉大櫆, 姚鼐散文集",三聯,陳耀東
C05632,中國文學史的省思,三聯,陳國球
C05637,香港文學識小,香江,梅子
C05639,香港經濟年鑑 1998,經濟導報社,黃鏡棠
C05650,圖解百科透視大辭典,台灣麥克,陳國成
C05651,中國名鄉重鎮百科全書,育昇,施友義
C05671,泡沫經濟,時英,蕙群
C05677,中文一分鐘    (二),中華書局,陳永明 等著
